name,value,year,lastValue,rank
Otro Empleo no pleno,1924634.34,2014.75,1980199.29,2
Empleo no clasificado,16420.84,2014.75,22902.30,6
Empleo Adecuado/Pleno,3206079.84,2014,3328047.86,1
Subempleo por insuficiencia de tiempo de trabajo,706155.68,2014,654049.74,3
Subempleo por insuficiencia de ingresos,184204.78,2014,155219.30,5
Empleo no remunerado,497262.13,2014,493181.50,4
Otro Empleo no pleno,2094853.87,2014,2019279.21,2
Empleo no clasificado,17757.78,2014,14463.03,6
Empleo Adecuado/Pleno,3401156.50,2014.25,3206079.84,1
Subempleo por insuficiencia de tiempo de trabajo,670963.96,2014.25,706155.68,3
Subempleo por insuficiencia de ingresos,180974.98,2014.25,184204.78,5
Empleo no remunerado,437119.38,2014.25,497262.13,4
Otro Empleo no pleno,1935919.63,2014.25,2094853.87,2
Empleo no clasificado,17323.62,2014.25,17757.78,6
Empleo Adecuado/Pleno,3414022.50,2014.5,3401156.50,1
Subempleo por insuficiencia de tiempo de trabajo,732101.06,2014.5,670963.96,3
Subempleo por insuficiencia de ingresos,161603.51,2014.5,180974.98,5
Empleo no remunerado,555947.27,2014.5,437119.38,4
Otro Empleo no pleno,1980199.29,2014.5,1935919.63,2
Empleo no clasificado,22902.30,2014.5,17323.62,6
Empleo Adecuado/Pleno,3487109.93,2015.75,3495964.65,1
Subempleo por insuficiencia de tiempo de trabajo,848626.44,2015.75,925647.34,3
Subempleo por insuficiencia de ingresos,202019.55,2015.75,196340.27,5
Empleo no remunerado,574061.38,2015.75,655616.39,4
Otro Empleo no pleno,1981204.83,2015.75,1961901.49,2
Empleo no clasificado,47613.54,2015.75,38750.75,6
Empleo Adecuado/Pleno,3223996.10,2015,3545801.86,1
Subempleo por insuficiencia de tiempo de trabajo,783186.58,2015,759650.65,3
Subempleo por insuficiencia de ingresos,202511.04,2015,166123.12,5
Empleo no remunerado,710082.51,2015,508476.36,4
Otro Empleo no pleno,2142957.55,2015,1924634.34,2
Empleo no clasificado,28382.31,2015,16420.84,6
Empleo Adecuado/Pleno,3410490.28,2015.25,3223996.10,1
Subempleo por insuficiencia de tiempo de trabajo,803597.97,2015.25,783186.58,3
Subempleo por insuficiencia de ingresos,174187.39,2015.25,202511.04,5
Empleo no remunerado,623780.97,2015.25,710082.51,4
Otro Empleo no pleno,2044691.15,2015.25,2142957.55,2
Empleo no clasificado,41836.07,2015.25,28382.31,6
Empleo Adecuado/Pleno,3495964.65,2015.5,3410490.28,1
Subempleo por insuficiencia de tiempo de trabajo,925647.34,2015.5,803597.97,3
Subempleo por insuficiencia de ingresos,196340.27,2015.5,174187.39,5
Empleo no remunerado,655616.39,2015.5,623780.97,4
Otro Empleo no pleno,1961901.49,2015.5,2044691.15,2
Empleo no clasificado,38750.75,2015.5,41836.07,6
Empleo Adecuado/Pleno,3243293.46,2016.75,3154513.17,1
Subempleo por insuficiencia de tiempo de trabajo,1253263.69,2016.75,1272472.72,3
Subempleo por insuficiencia de ingresos,311561.50,2016.75,287868.91,5
Empleo no remunerado,660893.29,2016.75,834146.79,4
Otro Empleo no pleno,1978070.51,2016.75,2063849.10,2
Empleo no clasificado,16496.99,2016.75,25135.01,6
Empleo Adecuado/Pleno,3142554.11,2016,3487109.93,1
Subempleo por insuficiencia de tiempo de trabajo,1109513.92,2016,848626.44,3
Subempleo por insuficiencia de ingresos,238717.38,2016,202019.55,5
Empleo no remunerado,796918.69,2016,574061.38,4
Otro Empleo no pleno,2100224.58,2016,1981204.83,2
Empleo no clasificado,24742.12,2016,47613.54,6
Empleo Adecuado/Pleno,3214775.87,2016.25,3142554.11,1
Subempleo por insuficiencia de tiempo de trabajo,1060671.38,2016.25,1109513.92,3
Subempleo por insuficiencia de ingresos,217045.23,2016.25,238717.38,5
Empleo no remunerado,759390.16,2016.25,796918.69,4
Otro Empleo no pleno,2138677.60,2016.25,2100224.58,2
Empleo no clasificado,24538.66,2016.25,24742.12,6
Empleo Adecuado/Pleno,3154513.17,2016.5,3214775.87,1
Subempleo por insuficiencia de tiempo de trabajo,1272472.72,2016.5,1060671.38,3
Subempleo por insuficiencia de ingresos,287868.91,2016.5,217045.23,5
Empleo no remunerado,834146.79,2016.5,759390.16,4
Otro Empleo no pleno,2063849.10,2016.5,2138677.60,2
Empleo no clasificado,25135.01,2016.5,24538.66,6
Empleo Adecuado/Pleno,3417483.04,2017.75,3303564.81,1
Subempleo por insuficiencia de tiempo de trabajo,1235758.82,2017.75,1330166.85,3
Subempleo por insuficiencia de ingresos,367150.59,2017.75,349691.15,5
Empleo no remunerado,727778.10,2017.75,823329.10,4
Otro Empleo no pleno,1951059.73,2017.75,2020779.38,2
Empleo no clasificado,12947.18,2017.75,14939.98,6
Empleo Adecuado/Pleno,3112953.47,2017,3243293.46,1
Subempleo por insuficiencia de tiempo de trabajo,1400549.26,2017,1253263.69,3
Subempleo por insuficiencia de ingresos,325480.35,2017,311561.50,5
Empleo no remunerado,879800.80,2017,660893.29,4
Otro Empleo no pleno,1994536.54,2017,1978070.51,2
Empleo no clasificado,15648.05,2017,16496.99,6
Empleo Adecuado/Pleno,3267363.12,2017.25,3112953.47,1
Subempleo por insuficiencia de tiempo de trabajo,1322183.86,2017.25,1400549.26,3
Subempleo por insuficiencia de ingresos,346393.13,2017.25,325480.35,5
Empleo no remunerado,828058.92,2017.25,879800.80,4
Otro Empleo no pleno,1978784.28,2017.25,1994536.54,2
Empleo no clasificado,38776.93,2017.25,15648.05,6
Empleo Adecuado/Pleno,3303564.81,2017.5,3267363.12,1
Subempleo por insuficiencia de tiempo de trabajo,1330166.85,2017.5,1322183.86,3
Subempleo por insuficiencia de ingresos,349691.15,2017.5,346393.13,5
Empleo no remunerado,823329.10,2017.5,828058.92,4
Otro Empleo no pleno,2020779.38,2017.5,1978784.28,2
Empleo no clasificado,14939.98,2017.5,38776.93,6
Empleo Adecuado/Pleno,3262079.03,2018.75,3274463.00,1
Subempleo por insuficiencia de tiempo de trabajo,1074227.53,2018.75,1296761.94,3
Subempleo por insuficiencia de ingresos,249496.81,2018.75,309122.06,5
Empleo no remunerado,798391.33,2018.75,879552.00,4
Otro Empleo no pleno,2313023.40,2018.75,2124567.00,2
Empleo no clasificado,33814.38,2018.75,49159.00,6
Empleo Adecuado/Pleno,3356562.26,2018,3417483.04,1
Subempleo por insuficiencia de tiempo de trabajo,1193096.12,2018,1235758.82,3
Subempleo por insuficiencia de ingresos,305042.85,2018,367150.59,5
Empleo no remunerado,831628.18,2018,727778.10,4
Otro Empleo no pleno,2096971.84,2018,1951059.73,2
Empleo no clasificado,19072.77,2018,12947.18,6
Empleo Adecuado/Pleno,3105674.12,2018.25,3356562.26,1
Subempleo por insuficiencia de tiempo de trabajo,1223985.65,2018.25,1193096.12,3
Subempleo por insuficiencia de ingresos,320387.55,2018.25,305042.85,5
Empleo no remunerado,838730.14,2018.25,831628.18,4
Otro Empleo no pleno,2116670.28,2018.25,2096971.84,2
Empleo no clasificado,43325.18,2018.25,19072.77,6
Empleo Adecuado/Pleno,3274463.00,2018.5,3105674.12,1
Subempleo por insuficiencia de tiempo de trabajo,1296761.94,2018.5,1223985.65,3
Subempleo por insuficiencia de ingresos,309122.06,2018.5,320387.55,5
Empleo no remunerado,879552.00,2018.5,838730.14,4
Otro Empleo no pleno,2124567.00,2018.5,2116670.28,2
Empleo no clasificado,49159.00,2018.5,43325.18,1
Empleo Adecuado/Pleno,3146297.12,2019.75,3228032.42,1
Subempleo por insuficiencia de tiempo de trabajo,1190073.10,2019.75,1369552.32,3
Subempleo por insuficiencia de ingresos,250909.85,2019.75,279794.15,5
Empleo no remunerado,884616.66,2019.75,870833.45,4
Otro Empleo no pleno,2268076.61,2019.75,2171044.53,2
Empleo no clasificado,47922.60,2019.75,53227.71,6
Empleo Adecuado/Pleno,3094794.89,2019,3262079.03,1
Subempleo por insuficiencia de tiempo de trabajo,1275304.53,2019,1074227.53,3
Subempleo por insuficiencia de ingresos,248813.05,2019,249496.81,5
Empleo no remunerado,895242.44,2019,798391.33,4
Otro Empleo no pleno,2222110.58,2019,2313023.40,2
Empleo no clasificado,50266.55,2019,33814.38,6
Empleo Adecuado/Pleno,3123743.31,2019.25,3094794.89,1
Subempleo por insuficiencia de tiempo de trabajo,1377417.35,2019.25,1275304.53,3
Subempleo por insuficiencia de ingresos,289860.81,2019.25,248813.05,5
Empleo no remunerado,855740.95,2019.25,895242.44,4
Otro Empleo no pleno,2169741.25,2019.25,2222110.58,2
Empleo no clasificado,49282.44,2019.25,50266.55,6
Empleo Adecuado/Pleno,3228032.42,2019.5,3123743.31,1
Subempleo por insuficiencia de tiempo de trabajo,1369552.32,2019.5,1377417.35,3
Subempleo por insuficiencia de ingresos,279794.15,2019.5,289860.81,5
Empleo no remunerado,870833.45,2019.5,855740.95,4
Otro Empleo no pleno,2171044.53,2019.5,2169741.25,2
Empleo no clasificado,53227.71,2019.5,49282.44,6
Empleo Adecuado/Pleno,2458516.15,2020.75,2458818.58,1
Subempleo por insuficiencia de tiempo de trabajo,1637545.29,2020.75,1735566.47,3
Subempleo por insuficiencia de ingresos,210085.42,2020.75,214258.73,5
Empleo no remunerado,1028848.44,2020.75,945753.23,4
Otro Empleo no pleno,2282616.35,2020.75,2091314.10,2
Empleo no clasificado,70075.10,2020.75,55816.12,6
Empleo Adecuado/Pleno,2458516.15,2020.5,2458818.58,1
Subempleo por insuficiencia de tiempo de trabajo,1637545.29,2020.5,1735566.47,3
Subempleo por insuficiencia de ingresos,210085.42,2020.5,214258.73,5
Empleo no remunerado,1028848.44,2020.5,945753.23,4
Otro Empleo no pleno,2282616.35,2020.5,2091314.10,2
Empleo no clasificado,70075.10,2020.5,55816.12,6
Empleo Adecuado/Pleno,2458516.15,2020.25,2458818.58,1
Subempleo por insuficiencia de tiempo de trabajo,1637545.29,2020.25,1735566.47,3
Subempleo por insuficiencia de ingresos,210085.42,2020.25,214258.73,5
Empleo no remunerado,1028848.44,2020.25,945753.23,4
Otro Empleo no pleno,2282616.35,2020.25,2091314.10,2
Empleo no clasificado,70075.10,2020.25,55816.12,6
Empleo Adecuado/Pleno,2458818.58,2020,3146297.12,1
Subempleo por insuficiencia de tiempo de trabajo,1735566.47,2020,1190073.10,3
Subempleo por insuficiencia de ingresos,214258.73,2020,250909.85,5
Empleo no remunerado,945753.23,2020,884616.66,4
Otro Empleo no pleno,2091314.10,2020,2268076.61,2
Empleo no clasificado,55816.12,2020,47922.60,6
Empleo Adecuado/Pleno,2671029.82,2021,2458516.15,1
Subempleo por insuficiencia de tiempo de trabajo,1654386.58,2021,1637545.29,3
Subempleo por insuficiencia de ingresos,226064.08,2021,210085.42,5
Empleo no remunerado,1089327.80,2021,1028848.44,4
Otro Empleo no pleno,2193852.94,2021,2282616.35,2
Empleo no clasificado,66268.18,2021,70075.10,6
Empleo Adecuado/Pleno,2575859.79,2021.1,2671029.82,1
Subempleo por insuficiencia de tiempo de trabajo,1700035.76,2021.1,1654386.58,3
Subempleo por insuficiencia de ingresos,223364.27,2021.1,226064.08,5
Empleo no remunerado,991264.65,2021.1,1089327.80,4
Otro Empleo no pleno,2207163.37,2021.1,2193852.94,2
Empleo no clasificado,92833.49,2021.1,66268.18,6
Empleo Adecuado/Pleno,2547396.13,2021.2,2575859.79,1
Subempleo por insuficiencia de tiempo de trabajo,1674864.26,2021.2,1700035.76,3
Subempleo por insuficiencia de ingresos,178627.41,2021.2,223364.27,5
Empleo no remunerado,1015622.86,2021.2,991264.65,4
Otro Empleo no pleno,2190744.79,2021.2,2207163.37,2
Empleo no clasificado,54367.58,2021.2,92833.49,6
Empleo Adecuado/Pleno,2565865.48,2021.3,2547396.13,1
Subempleo por insuficiencia de tiempo de trabajo,1770788.34,2021.3,1674864.26,3
Subempleo por insuficiencia de ingresos,171071.65,2021.3,178627.41,5
Empleo no remunerado,1079299.73,2021.3,1015622.86,4
Otro Empleo no pleno,2243726.40,2021.3,2190744.79,2
Empleo no clasificado,67998.34,2021.3,54367.58,6
Empleo Adecuado/Pleno,2569032.61,2021.4,2565865.48,1
Subempleo por insuficiencia de tiempo de trabajo,1742659.77,2021.4,1770788.34,3
Subempleo por insuficiencia de ingresos,227817.68,2021.4,171071.65,5
Empleo no remunerado,1082268.00,2021.4,1079299.73,4
Otro Empleo no pleno,2248647.63,2021.4,2243726.40,2
Empleo no clasificado,92910.09,2021.4,67998.34,6
Empleo Adecuado/Pleno,2604262.84,2021.5,2569032.61,1
Subempleo por insuficiencia de tiempo de trabajo,1707044.51,2021.5,1742659.77,3
Subempleo por insuficiencia de ingresos,210345.76,2021.5,227817.68,5
Empleo no remunerado,1074504.76,2021.5,1082268.00,4
Otro Empleo no pleno,2254112.16,2021.5,2248647.63,2
Empleo no clasificado,55510.78,2021.5,92910.09,6
Empleo Adecuado/Pleno,2631707.93,2021.6,2604262.84,1
Subempleo por insuficiencia de tiempo de trabajo,1814549.44,2021.6,1707044.51,3
Subempleo por insuficiencia de ingresos,220556.37,2021.6,210345.76,5
Empleo no remunerado,916423.83,2021.6,1074504.76,4
Otro Empleo no pleno,2204817.58,2021.6,2254112.16,2
Empleo no clasificado,62744.20,2021.6,55510.78,6
